,user,Hmu,E,Cmu
0,1,0.15352724820666525,0.0052394919106492355,0.29910282896818996
1,2,0.0621204353828802,0.001330707908261869,0.12557157867401347
2,3,0.2307700854025464,0.007060704624520658,0.6469441596639258
3,4,0.31902216826956864,0.26269828681709934,3.254695914419087
4,5,0.06917368459981922,0.0039332918080684925,0.2736051408175731
5,6,0.03647178268863456,0.00423734922745319,0.07412238359629865
6,7,0.1707399171896823,0.005861731671295944,0.3335250335394378
7,8,0.16532456611206528,0.054145239808670836,0.7659835455943743
8,9,0.030908054755927956,10.333690240542577,0.2233686453356547
9,10,0.003098737872147831,0.0,-0.0
10,11,0.24478003317097805,0.08713657237144132,1.4181614393339723
11,12,0.30530978093590816,0.010308729425919372,1.072087767151984
12,13,0.1829358637266553,0.010695873431868452,0.3558635689245096
13,14,0.32746303521778947,0.042244044428851824,1.08603698890293
14,15,0.1496486429247345,0.007304293555347646,0.42370923628197155
15,16,0.03352414156994633,0.0,-0.0
16,17,0.04402736441922024,0.00013335724112690378,0.04416072166034852
17,18,0.018247462739053904,0.0,-0.0
18,19,0.07913548242176595,0.019108784754557115,0.47123008668276867
19,20,0.19894211549702467,0.0037261146756835117,0.38711584533155163
20,21,0.00998277997953677,0.0,-0.0
21,22,0.1051801610044853,0.0,-0.0
22,23,-0.0,0.0,-0.0
23,24,0.31104025961782505,0.010292110238010244,1.0899324424332484
24,25,0.09422326491541076,0.0002226569734127548,0.09444592188882259
25,26,0.05487618847497403,0.0,-0.0
26,27,0.01612193228720797,0.0,-0.0
27,28,0.008980459116971,-0.00018190678135408637,0.009107644721376727
28,29,0.022117711539826848,0.0,-0.0
29,30,0.010273554494696082,0.0,-0.0
30,31,0.11379141316390945,0.5185172170935776,0.9099408025579613
31,32,0.09553458321410109,0.0,-0.0
32,33,0.042598285724555006,0.0021113394414951567,0.12619534725328066
33,34,0.03375740212390105,0.0,-0.0
34,35,0.22720964667997778,0.011023478795796154,1.1116187243944176
35,36,0.18804144946129803,0.031921276464175224,0.7714451388917428
36,37,0.09149506716546423,0.00922027799754449,0.5244626687327181
37,38,0.018247462739053904,0.0,-0.0
38,39,0.04808084762143417,0.0,-0.0
39,40,-0.0,0.0,-0.0
40,41,0.12557745945760576,0.0,-0.0
41,42,0.04899498098654612,0.00016171656345086854,0.04915669755001308
42,43,0.22614307723102728,0.11030373813605437,1.9821371473578704
43,44,0.09353034000551602,0.00597790819719779,0.269067593279808
44,45,0.04375182097374061,0.006860326816314356,0.2158063453436351
45,46,0.09390026052664864,0.0,-0.0
46,47,0.1071567034471793,0.0010063121533129132,0.10816301560049439
47,48,0.029743766710403262,0.0,-0.0
48,49,0.257394944873397,0.012502317467533441,0.4957797536997939
49,50,0.050418900887983405,0.004803814943521396,0.1952499322085286
50,51,0.20860906633116283,0.022239956621788487,0.8982228749400064
51,52,0.02058607106090972,0.0,-0.0
52,53,0.056407867149094154,0.0017800125951280693,0.11218893691496401
53,54,0.09528418467973292,0.004493418362553958,0.3632316398745377
54,55,0.25541506798893654,3.116208091943962,2.029595279934613
55,56,0.20013566502422114,0.000628415087148726,0.20076408011136992
56,57,0.1006796032120102,0.0013149136773413783,0.1019945168893365
57,58,0.09280624503292532,0.0,-0.0
58,59,0.010851145512816431,0.0,-0.0
59,60,0.013392148326000542,0.0,-0.0
60,61,0.053196759987650694,0.0,-0.0
61,62,0.22639575629955852,0.021340144102102887,1.2943748136110178
62,63,0.14017252645058786,0.0,-0.0
63,64,0.036760080181734454,0.0,-0.0
64,65,0.019152660015875202,0.003975004629287321,0.023127664645152438
65,66,0.07898228082989345,0.010414888881999054,0.3851682167226447
66,67,0.029574914658601445,0.00016885205180166077,0.029743766710403415
67,68,0.039936180492427635,0.0,-0.0
68,69,0.015312121898524178,0.0,-0.0
69,70,0.057372695205271794,0.0,-0.0
70,71,0.08354288831032233,0.0,-0.0
71,72,0.005099282139318095,0.0,-0.0
72,73,0.10252745273764936,0.0,-0.0
73,74,0.015582880253406274,0.0,-0.0
74,75,0.00820741355538223,0.0,-0.0
75,76,0.07554124938883991,0.0,-0.0
76,77,0.3010449774751818,0.014000511338665478,0.5759510028200509
77,78,0.0138640187530233,8.129154998985644e-05,0.013945310303014505
78,79,0.022239040809656125,0.00013196864940314898,0.02237100945902167
79,80,0.13859701847047068,0.0008788568835998156,0.27478653880515996
80,81,0.06889751874695943,0.0,-0.0
81,82,0.049799603697705266,0.0,-0.0
82,83,0.13823425252092683,0.0,-0.0
83,84,0.022064721862924835,0.0008112571836388777,0.02287597904657119
84,85,0.04254891122925695,0.00623443933894776,0.08825045635701931
85,86,0.11538660122120532,0.002755367417639293,0.44111977555436194
86,87,0.06147657433349739,0.0,-0.0
87,88,0.052774952474115754,0.0,-0.0
88,89,0.17687654749387507,0.07790345641218549,1.0337973049565963
89,90,0.17324376074287548,0.021314068220739668,0.7709575275342828
90,91,0.11816084163224037,0.006399188852755769,0.3406381187183877
91,92,0.06988457473724324,0.0,-0.0
92,93,0.08263766481093866,0.013193325081433935,0.48154933585863635
93,94,0.0910211778708869,6.191069550720384,0.7027811033648166
94,95,0.029240448189113484,0.0005033185212806462,0.02974376671040485
95,96,0.08051982422049728,0.0,-0.0
96,97,0.20092493219040886,0.007972145060093389,0.9086083120800241
97,98,0.22432645010697577,0.04715624395218765,1.017503509837728
98,99,-0.0,0.0,-0.0
99,100,0.10311689092847343,0.05597335450454041,0.34501999858643406
100,101,0.005901375052684458,-0.0001725561488903878,0.006074051758143548
101,102,0.1463737685658688,0.014118445918023026,0.41896791109200837
102,103,0.003098737872147831,0.0,-0.0
103,104,0.015146174692313646,0.0012440830382960347,0.01639025773056732
104,105,0.07823246525771237,0.0,-0.0
105,106,0.0944469171373299,0.002353340952866073,0.096800258090218
106,107,0.02528813412673281,1.3493278514771383,0.13602363097799952
107,108,0.03272780483638478,1.6818931238657489,0.2864557681500664
108,109,0.16083091320169376,0.0013557919120837647,0.31615828386760103
109,110,0.2065394737340996,0.13204956952210378,0.8786578709188851
110,111,0.053196759987650694,0.0,-0.0
111,112,0.11866474425580721,0.0008359030304476989,0.23459694625521582
112,113,0.06451066904387122,0.0,-0.0
113,114,0.04194899951521171,0.0,-0.0
114,115,0.05427075467009738,0.002687692338768817,0.056958447008939456
115,116,0.12236946078562942,0.01286577799417965,0.47177839844813635
116,117,0.01585281165173505,0.0,-0.0
117,118,0.09005160584148315,0.004609925323616149,0.1778150627655774
118,119,0.05727112722082635,0.0005150965068188504,0.05778622372764125
119,120,0.10574697691378186,0.012435568552386339,0.48384252367346825
120,121,0.021098927647758333,0.0,-0.0
121,122,0.06988457473724324,0.0,-0.0
122,123,0.04349985051332307,0.0,-0.0
123,124,0.021354477744931287,0.0,-0.0
124,125,0.0512923156535417,0.0,-0.0
125,126,0.0012835188659376044,0.0,-0.0
126,127,0.09698068347965719,0.0,-0.0
127,128,0.04848659789839799,0.0010989181206433399,0.04958551601904796
128,129,0.09240611660728423,0.015821577289818436,0.6745388774197808
129,130,0.05984328240634618,0.0,-0.0
130,131,0.09147258282255688,0.004385857409544211,0.18039138113073694
131,132,0.23642493000803166,0.0995763949308,1.2626609637284574
132,133,0.037445503424949025,0.0,-0.0
133,134,0.009397050562890513,0.0,-0.0
134,135,0.07861491566971111,0.0,-0.0
135,136,0.0647116683970485,0.0,-0.0
